trait,Var1,Var2,value,multiplier
a,shape,T0,42.6572719275845,0.1
a,rate,T0,2.9069905160499245,0.1
a,shape,Tm,351.6634544110248,0.1
a,rate,Tm,8.577775621310876,0.1
a,shape,c,15.619132923142871,0.1
a,rate,c,57672.66973026253,0.1
a,shape,sigma,4.892725416333718,0.1
a,rate,sigma,1765.097525013101,0.1
a,shape,tau,5.499878872431286,0.1
a,rate,tau,0.012490484463676425,0.1
b,shape,T0,36.02938809015789,0.5
b,rate,T0,2.9893147082710527,0.5
b,shape,Tm,2236.3856476085166,0.5
b,rate,Tm,68.19414849425439,0.5
b,shape,c,25.964873430186323,0.5
b,rate,c,26322.25052065564,0.5
b,shape,sigma,10.218523628411758,0.5
b,rate,sigma,232.43271931326618,0.5
b,shape,tau,10.925989009476067,0.5
b,rate,tau,0.4362927419237808,0.5
c,shape,T0,1.149705108122868,0.5
c,rate,T0,0.760377721484676,0.5
c,shape,Tm,853.8486976348411,0.5
c,rate,Tm,24.574875193162338,0.5
c,shape,c,87.88910699424316,0.5
c,rate,c,167941.92093847037,0.5
c,shape,sigma,17.276143851763464,0.5
c,rate,sigma,372.52370746757026,0.5
c,shape,tau,17.957909208935934,0.5
c,rate,tau,0.7864042926724518,0.5
e2a,shape,T0,154.75066408004233,0.1
e2a,rate,T0,20.14922781851177,0.1
e2a,shape,Tm,3319.222514210454,0.1
e2a,rate,Tm,86.63973222171691,0.1
e2a,shape,qd,101.39124864860219,0.1
e2a,rate,qd,30194.208978644634,0.1
e2a,shape,sigma,3.1482430961856736,0.1
e2a,rate,sigma,553.050558714992,0.1
e2a,shape,tau,3.8661603522492287,0.1
e2a,rate,tau,0.01627125280750684,0.1
EFD,shape,T0,73.61711502317361,0.1
EFD,rate,T0,5.234959377677179,0.1
EFD,shape,Tm,2605.734688416401,0.1
EFD,rate,Tm,81.36492863795459,0.1
EFD,shape,c,28.367270566684553,0.1
EFD,rate,c,1364.802827426764,0.1
EFD,shape,sigma,1.6055661919355475,0.1
EFD,rate,sigma,0.6652044081387144,0.1
EFD,shape,tau,2.1975209910751685,0.1
EFD,rate,tau,2.9486510727807067,0.1
lf,shape,T0,1764.9572776340092,0.01
lf,rate,T0,106.11944803202638,0.01
lf,shape,Tm,5601.431796774749,0.01
lf,rate,Tm,175.8671030928756,0.01
lf,shape,qd,73.17713050986534,0.01
lf,rate,qd,58.83546583073248,0.01
lf,shape,sigma,1.1986786823840339,0.01
lf,rate,sigma,0.06835085497569894,0.01
lf,shape,tau,1.9040625986554152,0.01
lf,rate,tau,15.663954007910005,0.01
MDR,shape,T0,24.82423454121579,0.1
MDR,rate,T0,1.6416868361564343,0.1
MDR,shape,Tm,5189.783690877896,0.1
MDR,rate,Tm,137.7874092652758,0.1
MDR,shape,c,19.699257247177123,0.1
MDR,rate,c,132184.351917656,0.1
MDR,shape,sigma,6.568245853848992,0.1
MDR,rate,sigma,5392.7516664794475,0.1
MDR,shape,tau,7.29519276147615,0.1
MDR,rate,tau,0.007662293853535081,0.1
PDR,shape,T0,5.800032666657166,0.5
PDR,rate,T0,0.5044450637157308,0.5
PDR,shape,Tm,118.95180067169447,0.5
PDR,rate,Tm,3.0522542252791864,0.5
PDR,shape,c,6.455930092808502,0.5
PDR,rate,c,61855.80927689041,0.5
PDR,shape,sigma,7.763777460891682,0.5
PDR,rate,sigma,3400.9848232523723,0.5
PDR,shape,tau,8.374468740559925,0.5
PDR,rate,tau,0.016843057442791205,0.5
TFD,shape,T0,57.32056317555817,0.1
TFD,rate,T0,4.114296720796363,0.1
TFD,shape,Tm,2597.570957298321,0.1
TFD,rate,Tm,80.99237842493773,0.1
TFD,shape,c,29.285116049183344,0.1
TFD,rate,c,268.88794694132895,0.1
TFD,shape,sigma,1.5727660381300286,0.1
TFD,rate,sigma,0.023035716524580894,0.1
TFD,shape,tau,2.2384826186417786,0.1
TFD,rate,tau,84.70729486134518,0.1
lf,shape,T0,1764.9572776340092,0.01
lf,rate,T0,106.11944803202638,0.01
lf,shape,Tm,5601.431796774749,0.01
lf,rate,Tm,175.8671030928756,0.01
lf,shape,qd,73.17713050986534,0.01
lf,rate,qd,58.83546583073248,0.01
lf,shape,sigma,1.1986786823840339,0.01
lf,rate,sigma,0.06835085497569894,0.01
lf,shape,tau,1.9040625986554152,0.01
lf,rate,tau,15.663954007910005,0.01
