trait.name,T,trait,ref,trait2,trait2.name,host.code,paras.code,notes
EFOC,23,43,Christiansen-Jucht_2015_Parasites&Vectors,0,number of previous blood meals,Anga,NA,
EFOC,27,50,Christiansen-Jucht_2015_Parasites&Vectors,0,number of previous blood meals,Anga,NA,
EFOC,31,25,Christiansen-Jucht_2015_Parasites&Vectors,0,number of previous blood meals,Anga,NA,
EFOC,23,47,Christiansen-Jucht_2015_Parasites&Vectors,1,number of previous blood meals,Anga,NA,
EFOC,27,47,Christiansen-Jucht_2015_Parasites&Vectors,1,number of previous blood meals,Anga,NA,
EFOC,31,18,Christiansen-Jucht_2015_Parasites&Vectors,1,number of previous blood meals,Anga,NA,
EFOC,23,47,Christiansen-Jucht_2015_Parasites&Vectors,2,number of previous blood meals,Anga,NA,
EFOC,27,51,Christiansen-Jucht_2015_Parasites&Vectors,2,number of previous blood meals,Anga,NA,
EFOC,31,10,Christiansen-Jucht_2015_Parasites&Vectors,2,number of previous blood meals,Anga,NA,
TFD,20,0,Aytekin_2009_JOVE,D,kept in temperature controlled chamber,Ansu,NA,
TFD,25,20.66,Aytekin_2009_JOVE,D,kept in temperature controlled chamber,Ansu,NA,
TFD,27,15.27,Aytekin_2009_JOVE,D,kept in temperature controlled chamber,Ansu,NA,
TFD,27,15.97,Aytekin_2009_JOVE,L,kept in insectarium,Ansu,NA,
TFD,30,0,Aytekin_2009_JOVE,D,kept in temperature controlled chamber,Ansu,NA,
TFD,35,0,Aytekin_2009_JOVE,D,kept in temperature controlled chamber,Ansu,NA,
